,date,time,venue,attendance,duration,time_of_day,winner,winning_name,winning_abbr,losing_name,losing_abbr,away_at_bats,away_runs,away_hits,away_rbi,away_earned_runs,away_bases_on_balls,away_strikeouts,away_plate_appearances,away_batting_average,away_on_base_percentage,away_slugging_percentage,away_on_base_plus,away_pitches,away_strikes,away_win_probability_for_offensive_player,away_average_leverage_index,away_win_probability_added,away_win_probability_subtracted,away_base_out_runs_added,away_putouts,away_assists,away_innings_pitched,away_home_runs,away_strikes_by_contact,away_strikes_swinging,away_strikes_looking,away_grounded_balls,away_fly_balls,away_line_drives,away_unknown_bat_type,away_game_score,away_inherited_runners,away_inherited_score,away_win_probability_by_pitcher,away_base_out_runs_saved,home_at_bats,home_runs,home_hits,home_rbi,home_earned_runs,home_bases_on_balls,home_strikeouts,home_plate_appearances,home_batting_average,home_on_base_percentage,home_slugging_percentage,home_on_base_plus,home_pitches,home_strikes,home_win_probability_for_offensive_player,home_average_leverage_index,home_win_probability_added,home_win_probability_subtracted,home_base_out_runs_added,home_putouts,home_assists,home_innings_pitched,home_home_runs,home_strikes_by_contact,home_strikes_swinging,home_strikes_looking,home_grounded_balls,home_fly_balls,home_line_drives,home_unknown_bat_type,home_game_score,home_inherited_runners,home_inherited_score,home_win_probability_by_pitcher,home_base_out_runs_saved
HOU/HOU196204100,"Tuesday, April 10, 1962",,Colt Stadium,25271,2:32,Day,Home,Houston Colt .45s,HOU,Chicago Cubs,CHC,30,2,5,2,2.0,2,4,33,0.167,0.212,0.333,0.545,,,-0.218,0.38,0.125,-0.34,-2.2,24,13,8.0,3,,,,,,,,27,2,1,-0.284,-7.3,34,11,13,11,12.38,4,2,40,0.382,0.462,0.735,1.197,,,0.285,0.43,0.546,-0.261,7.3,27,15,9.0,1,,,,,,,,71,,,0.217,2.2
HOU/HOU196204110,"Wednesday, April 11, 1962",,Colt Stadium,20336,2:33,Night,Home,Houston Colt .45s,HOU,Chicago Cubs,CHC,32,0,9,0,0.0,4,5,36,0.281,0.361,0.281,0.642,,,-0.524,0.67,0.634,-1.158,-4.2,24,12,8.0,0,,,,,,,,66,,,0.023,1.7,29,2,6,2,2.25,3,7,33,0.207,0.281,0.276,0.557,,,-0.023,1.47,0.354,-0.377,-1.7,27,18,9.0,0,,,,,,,,65,2,0,0.523,4.2
HOU/HOU196204120,"Thursday, April 12, 1962",,Colt Stadium,7838,2:02,Day,Home,Houston Colt .45s,HOU,Chicago Cubs,CHC,30,0,3,0,0.0,2,9,32,0.1,0.156,0.133,0.29,,,-0.631,0.92,0.177,-0.808,-4.2,24,9,8.0,0,,,,,,,,67,2,1,0.131,1.7,26,2,4,1,2.25,4,5,30,0.154,0.267,0.154,0.421,,,-0.131,1.12,0.366,-0.498,-1.7,27,10,9.0,0,,,,,,,,88,,,0.631,4.2
PHI/PHI196204130,"Friday, April 13, 1962",,Connie Mack Stadium,12633,2:30,Night,Home,Philadelphia Phillies,PHI,Houston Colt .45s,HOU,33,2,7,0,2.0,4,6,37,0.212,0.297,0.242,0.54,,,-0.511,0.89,0.603,-1.112,-2.4,24,10,8.0,1,,,,,,,,64,0,0,0.01,0.9,27,3,4,3,3.38,5,10,33,0.148,0.303,0.333,0.636,,,-0.011,1.47,0.565,-0.574,-0.9,27,15,9.0,0,,,,,,,,67,,,0.51,2.4
PHI/PHI196204140,"Saturday, April 14, 1962",1:36 p.m. Local,Connie Mack Stadium,2732,2:06,Day,Home,Philadelphia Phillies,PHI,Houston Colt .45s,HOU,32,0,7,0,0.0,0,5,33,0.219,0.242,0.219,0.461,,,-0.519,0.91,0.268,-0.786,-4.4,24,16,8.0,0,,,,,,,,59,0,0,0.018,0.9,28,3,6,2,2.25,1,5,30,0.214,0.241,0.25,0.491,,,-0.017,1.04,0.426,-0.445,-0.9,27,11,9.0,0,,,,,,,,78,,,0.518,4.4
NYN/NYN196204170,"Tuesday, April 17, 1962",2:02 p.m. Local,Polo Grounds V,3191,3:22,Day,Away,Houston Colt .45s,HOU,New York Mets,NYM,43,5,10,5,4.09,2,8,45,0.233,0.267,0.395,0.662,,,0.178,1.59,1.095,-0.917,-0.6,33,16,11.0,1,,,,,,,,65,1,0,0.322,3.6,40,2,8,1,0.82,2,8,43,0.2,0.256,0.3,0.556,,,-0.324,1.13,1.213,-1.537,-3.6,33,16,11.0,2,,,,,,,,66,0,0,-0.178,0.6
CHN/CHN196204180,"Wednesday, April 18, 1962",,Wrigley Field,3318,2:25,Day,Home,Chicago Cubs,CHC,Houston Colt .45s,HOU,33,2,8,2,1.8,4,3,40,0.242,0.316,0.242,0.558,,,-0.524,1.71,0.673,-1.197,-3.2,29,13,9.2,1,,,,,,,,50,2,0,0.024,2.1,38,3,12,3,2.79,1,7,40,0.316,0.35,0.474,0.824,,,-0.023,1.85,1.323,-1.347,-2.1,30,23,10.0,0,,,,,,,,67,,,0.524,3.2
CHN/CHN196204190,"Thursday, April 19, 1962",,Wrigley Field,3835,2:49,Day,Away,Houston Colt .45s,HOU,Chicago Cubs,CHC,38,6,12,6,3.0,3,8,46,0.316,0.386,0.5,0.886,,,-0.076,1.36,0.694,-0.77,1.3,27,12,9.0,0,,,,,,,,79,,,0.576,4.7,31,0,5,0,0.0,1,3,33,0.161,0.212,0.161,0.373,,,-0.575,0.96,0.408,-0.984,-4.7,27,12,9.0,1,,,,,,,,62,4,2,0.075,-1.3
HOU/HOU196204210,"Saturday, April 21, 1962",,Colt Stadium,21841,2:42,Night,Away,Philadelphia Phillies,PHI,Houston Colt .45s,HOU,31,3,6,3,3.0,0,6,35,0.194,0.235,0.29,0.526,,,0.005,1.41,0.416,-0.414,-1.2,27,8,9.0,0,,,,,,,,64,1,0,0.497,3.2,34,1,8,1,1.0,1,5,36,0.235,0.278,0.294,0.572,,,-0.498,0.78,0.509,-1.007,-3.2,27,8,9.0,0,,,,,,,,59,0,0,-0.003,1.2
HOU/HOU196204220,"Sunday, April 22, 1962",,Colt Stadium,13130,2:47,Day,Away,Philadelphia Phillies,PHI,Houston Colt .45s,HOU,32,4,10,4,3.0,3,4,37,0.312,0.371,0.313,0.684,,,0.177,1.8,0.989,-0.812,-0.2,27,11,9.0,0,,,,,,,,53,1,0,0.326,1.2,33,3,9,3,2.0,4,5,39,0.273,0.342,0.364,0.706,,,-0.326,1.34,0.96,-1.284,-1.2,27,14,9.0,0,,,,,,,,46,2,1,-0.175,0.2
HOU/HOU196204240,"Tuesday, April 24, 1962",,Colt Stadium,19335,2:25,Night,Home,Houston Colt .45s,HOU,St. Louis Cardinals,STL,35,3,6,3,1.0,3,7,39,0.171,0.237,0.229,0.465,,,-0.379,0.9,0.673,-1.053,-1.2,24,14,8.0,1,,,,,,,,49,0,0,-0.121,-0.3,29,4,7,3,1.12,2,3,31,0.241,0.29,0.379,0.67,,,0.122,1.46,0.649,-0.529,0.3,27,10,9.0,0,,,,,,,,71,,,0.379,1.2
HOU/HOU196204250,"Wednesday, April 25, 1962",,Colt Stadium,17265,5:13,Night,Away,St. Louis Cardinals,STL,Houston Colt .45s,HOU,67,5,20,5,2.65,4,18,71,0.299,0.338,0.403,0.741,,,-0.805,1.86,2.059,-2.866,-2.9,51,19,17.0,1,,,,,,,,41,3,0,0.809,2.9,64,5,14,5,2.12,6,11,72,0.219,0.296,0.313,0.608,,,-0.807,2.0,1.681,-2.488,-2.9,51,15,17.0,1,,,,,,,,30,2,1,0.809,2.9
HOU/HOU196204260,"Thursday, April 26, 1962",,Colt Stadium,15129,2:21,Night,Away,St. Louis Cardinals,STL,Houston Colt .45s,HOU,35,3,8,3,2.0,1,11,38,0.229,0.27,0.343,0.613,,,-0.005,1.47,0.81,-0.815,-1.2,27,14,9.0,1,,,,,,,,78,,,0.505,2.2,29,2,2,1,2.0,2,5,31,0.069,0.129,0.172,0.301,,,-0.507,1.08,0.405,-0.913,-2.2,27,13,9.0,1,,,,,,,,65,0,0,0.005,1.2
HOU/HOU196204270,"Friday, April 27, 1962",,Colt Stadium,16160,2:22,Night,Away,Milwaukee Braves,MLN,Houston Colt .45s,HOU,31,2,8,2,1.0,4,7,36,0.258,0.343,0.323,0.665,,,-0.152,1.48,0.726,-0.879,-2.2,27,11,9.0,1,,,,,,,,81,,,0.653,3.2,32,1,4,1,1.0,0,6,32,0.125,0.125,0.25,0.375,,,-0.652,1.14,0.392,-1.044,-3.2,27,15,9.0,0,,,,,,,,57,0,0,0.153,2.2
HOU/HOU196204280,"Saturday, April 28, 1962",,Colt Stadium,22501,2:55,Night,Away,Milwaukee Braves,MLN,Houston Colt .45s,HOU,41,9,14,7,7.0,2,10,43,0.341,0.372,0.439,0.811,,,0.446,1.11,0.92,-0.476,4.8,27,4,9.0,0,,,,,,,,36,2,0,0.055,1.2,36,3,11,3,3.0,1,6,38,0.306,0.316,0.417,0.732,,,-0.055,0.92,0.721,-0.778,-1.2,27,12,9.0,1,,,,,,,,40,3,3,-0.444,-4.8
HOU/HOU196204290,"Sunday, April 29, 1962",,Colt Stadium,21050,2:13,Day,Home,Houston Colt .45s,HOU,Milwaukee Braves,MLN,31,2,6,2,2.0,3,4,34,0.194,0.265,0.29,0.555,,,-0.183,0.94,0.817,-1.001,-2.2,24,9,8.0,3,,,,,,,,58,0,0,-0.317,0.7,31,3,6,3,3.38,1,2,32,0.194,0.219,0.484,0.703,,,0.316,1.52,0.838,-0.52,-0.7,27,12,9.0,1,,,,,,,,65,2,0,0.183,2.2
